EDT,Latitude,Longitude,Course,Direction,KTS,MPH,feet,Rate
Wed 05:21:51 PM,49.0198,2.4928,266¡,West,149,171,"2,600",
Wed 05:22:08 PM,49.0189,2.4759,266¡,West,138,159,"3,500","2,438Ê"
Wed 05:22:23 PM,49.018,2.4609,265¡,West,149,171,"3,900","1,400Ê"
Wed 05:22:38 PM,49.0171,2.444,265¡,West,170,196,"4,200","1,200Ê"
Wed 05:22:53 PM,49.018,2.4245,284¡,West,192,221,"4,500","1,125Ê"
Wed 05:23:10 PM,49.0278,2.404,324¡,Northwest,232,267,"4,800","1,313Ê"
Wed 05:23:25 PM,49.0423,2.3935,346¡,North,260,299,"5,200","2,400Ê"
Wed 05:23:40 PM,49.0621,2.3956,18¡,North,279,321,"6,000","3,353Ê"
Wed 05:23:59 PM,49.0814,2.4163,47¡,Northeast,291,335,"7,100","3,353Ê"
Wed 05:24:14 PM,49.0897,2.4453,80¡,East,299,344,"7,900","3,375Ê"
Wed 05:24:31 PM,49.0872,2.4821,102¡,East,301,346,"8,900","3,086Ê"
Wed 05:24:49 PM,49.0816,2.5181,103¡,East,307,353,"9,700","3,061Ê"
Wed 05:25:20 PM,49.0717,2.5862,101¡,East,316,364,"11,400","3,246Ê"
Wed 05:25:50 PM,49.0626,2.6526,102¡,East,320,368,"13,000","2,852Ê"
Wed 05:26:21 PM,49.0497,2.7191,107¡,East,327,376,"14,300","2,754Ê"
Wed 05:26:51 PM,49.0356,2.7881,107¡,East,333,383,"15,800","3,100Ê"
Wed 05:27:21 PM,49.0225,2.8529,107¡,East,324,373,"17,400","3,000Ê"
Wed 05:27:51 PM,49.0093,2.9182,107¡,East,322,371,"18,800","2,200Ê"
Wed 05:28:21 PM,48.9998,2.9644,107¡,East,326,375,"19,600","2,500Ê"
Wed 05:28:51 PM,48.9824,3.05,107¡,East,322,371,"21,300","1,780Ê"
Wed 05:29:52 PM,48.9537,3.188,107¡,East,364,419,"22,300",900Ê
Wed 05:30:11 PM,48.9418,3.2354,114¡,Southeast,373,429,"22,500",689Ê
Wed 05:30:53 PM,48.9105,3.3338,115¡,Southeast,399,459,"23,000",667Ê
Wed 05:31:23 PM,48.8846,3.4153,115¡,Southeast,418,481,"23,300","1,000Ê"
