fips,county,pop_total,pop_margin,male_total,male_error,female_total,female_error
1001,"Autauga County, Alabama",24290,557,13037,385,11253,509
1003,"Baldwin County, Alabama",82134,1522,44416,887,37718,1143
1005,"Barbour County, Alabama",9108,479,4755,364,4353,283
1007,"Bibb County, Alabama",7773,519,4625,387,3148,344
1009,"Blount County, Alabama",22168,741,12475,469,9693,529
1011,"Bullock County, Alabama",3810,370,2096,330,1714,220
1013,"Butler County, Alabama",7661,303,3632,220,4029,217
1015,"Calhoun County, Alabama",45348,1076,24218,690,21130,769
1017,"Chambers County, Alabama",13086,505,6740,341,6346,320
1019,"Cherokee County, Alabama",10177,552,5724,326,4453,366
1021,"Chilton County, Alabama",17433,645,10019,427,7414,392
1023,"Choctaw County, Alabama",4560,253,2495,171,2065,200
1025,"Clarke County, Alabama",8204,395,4093,287,4111,286
1027,"Clay County, Alabama",4946,341,2579,228,2367,241
1029,"Cleburne County, Alabama",5711,280,3267,231,2444,211
1031,"Coffee County, Alabama",21112,573,11724,396,9388,404
1033,"Colbert County, Alabama",20838,736,11487,379,9351,593
1035,"Conecuh County, Alabama",3517,308,1881,231,1636,220
1037,"Coosa County, Alabama",3735,301,2226,232,1509,164
1039,"Covington County, Alabama",14446,502,7834,328,6612,385
1041,"Crenshaw County, Alabama",5549,281,3110,191,2439,195
1043,"Cullman County, Alabama",31847,883,17531,613,14316,623
1045,"Dale County, Alabama",21211,559,11634,380,9577,392
1047,"Dallas County, Alabama",13513,598,6919,477,6594,365
1049,"DeKalb County, Alabama",27185,812,15161,553,12024,550
1051,"Elmore County, Alabama",33370,993,16500,760,16870,670
1053,"Escambia County, Alabama",12307,608,6788,449,5519,398
1055,"Etowah County, Alabama",39201,1037,20477,727,18724,708
1057,"Fayette County, Alabama",5944,389,3067,244,2877,257
1059,"Franklin County, Alabama",12329,496,7369,309,4960,380
1061,"Geneva County, Alabama",10645,404,5991,255,4654,291
1063,"Greene County, Alabama",2432,299,1153,174,1279,204
1065,"Hale County, Alabama",5117,305,2567,223,2550,185
1067,"Henry County, Alabama",6419,332,3334,207,3085,258
1069,"Houston County, Alabama",43969,613,22645,358,21324,414
1071,"Jackson County, Alabama",20521,681,11468,422,9053,445
1073,"Jefferson County, Alabama",286057,2235,144269,1505,141788,1534
1075,"Lamar County, Alabama",5479,343,3149,203,2330,224
1077,"Lauderdale County, Alabama",39432,759,21341,595,18091,513
1079,"Lawrence County, Alabama",12735,494,7178,301,5557,367
1081,"Lee County, Alabama",66091,1220,35636,850,30455,816
1083,"Limestone County, Alabama",36436,1199,19969,1041,16467,534
1085,"Lowndes County, Alabama",3430,214,1690,139,1740,178
1087,"Macon County, Alabama",7418,354,3461,235,3957,312
1089,"Madison County, Alabama",160576,1797,86445,1113,74131,1227
1091,"Marengo County, Alabama",7041,446,3681,241,3360,314
1093,"Marion County, Alabama",11230,515,5964,408,5266,343
1095,"Marshall County, Alabama",36802,780,19950,603,16852,644
1097,"Mobile County, Alabama",167645,1634,85501,1063,82144,1289
1099,"Monroe County, Alabama",7176,441,3814,302,3362,324
1101,"Montgomery County, Alabama",98309,1293,48548,1035,49761,876
1103,"Morgan County, Alabama",51258,1174,28072,795,23186,738
1105,"Perry County, Alabama",2499,328,1151,227,1348,209
1107,"Pickens County, Alabama",6407,309,3356,228,3051,265
1109,"Pike County, Alabama",14425,460,7553,385,6872,364
1111,"Randolph County, Alabama",8331,431,4276,265,4055,320
1113,"Russell County, Alabama",22953,847,12027,493,10926,557
1115,"St. Clair County, Alabama",35506,943,19138,620,16368,768
1117,"Shelby County, Alabama",98188,1205,52544,769,45644,746
1119,"Sumter County, Alabama",4600,377,2191,272,2409,242
1121,"Talladega County, Alabama",29508,966,15844,747,13664,578
1123,"Tallapoosa County, Alabama",15986,547,8353,383,7633,416
1125,"Tuscaloosa County, Alabama",85594,1313,44291,984,41303,987
1127,"Walker County, Alabama",23553,722,12831,512,10722,445
1129,"Washington County, Alabama",5663,337,3310,248,2353,226
1131,"Wilcox County, Alabama",2724,228,1316,170,1408,156
1133,"Winston County, Alabama",8559,463,4873,330,3686,327
2013,"Aleutians East Borough, Alaska",2589,182,1898,202,691,104
2016,"Aleutians West Census Area, Alaska",3888,138,2692,163,1196,107
2020,"Anchorage Municipality, Alaska",156149,1737,84418,1119,71731,1100
2050,"Bethel Census Area, Alaska",6045,233,3017,183,3028,141
2060,"Bristol Bay Borough, Alaska",524,59,315,39,209,31
2068,"Denali Borough, Alaska",1166,141,613,117,553,142
2070,"Dillingham Census Area, Alaska",1723,90,834,65,889,52
2090,"Fairbanks North Star Borough, Alaska",50498,1087,29423,672,21075,689
2100,"Haines Borough, Alaska",1380,144,776,100,604,108
2105,"Hoonah-Angoon Census Area, Alaska",1007,78,553,89,454,53
2110,"Juneau City and Borough, Alaska",16923,497,8939,328,7984,359
2122,"Kenai Peninsula Borough, Alaska",24695,666,13763,492,10932,417
2130,"Ketchikan Gateway Borough, Alaska",6672,181,3670,122,3002,125
2150,"Kodiak Island Borough, Alaska",7458,258,4227,175,3231,177
2164,"Lake and Peninsula Borough, Alaska",609,66,296,41,313,43
2170,"Matanuska-Susitna Borough, Alaska",38721,687,21773,452,16948,537
2180,"Nome Census Area, Alaska",3477,137,1805,102,1672,88
2185,"North Slope Borough, Alaska",5323,182,3810,201,1513,134
2188,"Northwest Arctic Borough, Alaska",2458,133,1381,97,1077,62
2195,"Petersburg Borough, Alaska",1617,136,858,129,759,87
2198,"Prince of Wales-Hyder Census Area, Alaska",2649,122,1526,96,1123,74
2220,"Sitka City and Borough, Alaska",4636,220,2430,149,2206,134
2230,"Skagway Municipality, Alaska",631,144,359,69,272,88
2240,"Southeast Fairbanks Census Area, Alaska",2966,196,1794,131,1172,135
2261,"Valdez-Cordova Census Area, Alaska",4389,297,2387,234,2002,196
2270,"Wade Hampton Census Area, Alaska",2004,80,1045,51,959,54
2275,"Wrangell City and Borough, Alaska",996,108,525,80,471,59
2282,"Yakutat City and Borough, Alaska",355,75,219,74,136,26
2290,"Yukon-Koyukuk Census Area, Alaska",1945,72,943,60,1002,57
4001,"Apache County, Arizona",18202,635,8550,447,9652,456
4003,"Cochise County, Arizona",49009,1514,25549,1263,23460,772
4005,"Coconino County, Arizona",63035,1296,32636,789,30399,873
4007,"Gila County, Arizona",17671,852,9060,603,8611,443
4009,"Graham County, Arizona",11514,588,6118,458,5396,303
4011,"Greenlee County, Arizona",3283,149,2174,119,1109,119
4012,"La Paz County, Arizona",6342,650,3402,386,2940,334
4013,"Maricopa County, Arizona",1737636,6561,937507,4204,800129,4519
4015,"Mohave County, Arizona",66139,1917,32983,1442,33156,909
4017,"Navajo County, Arizona",31215,929,15681,640,15534,633
4019,"Pima County, Arizona",414921,2969,218829,2097,196092,1985
4021,"Pinal County, Arizona",132547,2481,72385,1940,60162,1371
4023,"Santa Cruz County, Arizona",17440,614,9585,379,7855,449
4025,"Yavapai County, Arizona",79267,1793,41590,1000,37677,1323
4027,"Yuma County, Arizona",71855,1308,42280,1165,29575,732
5001,"Arkansas County, Arkansas",8363,327,4398,193,3965,239
5003,"Ashley County, Arkansas",7876,416,4242,249,3634,281
5005,"Baxter County, Arkansas",14550,616,6889,419,7661,426
5007,"Benton County, Arkansas",105647,1220,58150,824,47497,927
5009,"Boone County, Arkansas",14788,521,8023,353,6765,368
5011,"Bradley County, Arkansas",4243,297,2302,203,1941,189
5013,"Calhoun County, Arkansas",2312,166,1299,118,1013,106
5015,"Carroll County, Arkansas",11146,458,6208,308,4938,312
5017,"Chicot County, Arkansas",3653,341,1759,324,1894,188
5019,"Clark County, Arkansas",9269,438,4633,284,4636,350
5021,"Clay County, Arkansas",6202,265,3468,207,2734,195
5023,"Cleburne County, Arkansas",9375,544,5071,330,4304,322
5025,"Cleveland County, Arkansas",3224,163,1728,134,1496,117
5027,"Columbia County, Arkansas",9935,446,5174,327,4761,306
5029,"Conway County, Arkansas",8266,363,4414,237,3852,234
5031,"Craighead County, Arkansas",43742,1118,23152,660,20590,831
5033,"Crawford County, Arkansas",25173,734,13186,482,11987,455
5035,"Crittenden County, Arkansas",19397,632,10061,397,9336,465
5037,"Cross County, Arkansas",6927,350,3613,228,3314,219
5039,"Dallas County, Arkansas",3117,245,1620,181,1497,149
5041,"Desha County, Arkansas",4593,264,2399,169,2194,192
5043,"Drew County, Arkansas",7147,475,3596,286,3551,341
5045,"Faulkner County, Arkansas",55394,993,29021,675,26373,729
5047,"Franklin County, Arkansas",6602,401,3456,286,3146,254
5049,"Fulton County, Arkansas",4405,295,2219,195,2186,223
5051,"Garland County, Arkansas",38089,1051,20176,642,17913,666
5053,"Grant County, Arkansas",7594,338,4041,261,3553,231
5055,"Greene County, Arkansas",17167,598,9314,408,7853,409
5057,"Hempstead County, Arkansas",8702,421,4396,295,4306,302
5059,"Hot Spring County, Arkansas",13453,656,7246,492,6207,366
5061,"Howard County, Arkansas",5608,302,2857,173,2751,233
5063,"Independence County, Arkansas",15149,533,8384,412,6765,381
5065,"Izard County, Arkansas",4332,295,2264,235,2068,186
5067,"Jackson County, Arkansas",5600,367,3409,371,2191,346
5069,"Jefferson County, Arkansas",28132,835,13348,709,14784,514
5071,"Johnson County, Arkansas",10132,455,5504,325,4628,262
5073,"Lafayette County, Arkansas",2444,192,1186,139,1258,143
5075,"Lawrence County, Arkansas",6392,362,3307,250,3085,204
5077,"Lee County, Arkansas",3019,254,1503,202,1516,149
5079,"Lincoln County, Arkansas",3786,314,1973,285,1813,156
5081,"Little River County, Arkansas",5016,342,2603,267,2413,243
5083,"Logan County, Arkansas",8387,351,4423,260,3964,269
5085,"Lonoke County, Arkansas",32297,782,17245,481,15052,571
5087,"Madison County, Arkansas",6603,274,3658,201,2945,181
5089,"Marion County, Arkansas",5596,388,2853,252,2743,224
5091,"Miller County, Arkansas",17755,602,9411,420,8344,412
5093,"Mississippi County, Arkansas",16549,583,8657,373,7892,409
5095,"Monroe County, Arkansas",2608,219,1316,136,1292,136
5097,"Montgomery County, Arkansas",3404,240,1887,149,1517,162
5099,"Nevada County, Arkansas",3473,256,1804,157,1669,189
5101,"Newton County, Arkansas",3179,206,1809,144,1370,132
5103,"Ouachita County, Arkansas",9898,452,5024,264,4874,334
5105,"Perry County, Arkansas",4191,273,2353,159,1838,200
5107,"Phillips County, Arkansas",7214,362,3277,245,3937,257
5109,"Pike County, Arkansas",4369,249,2447,178,1922,155
5111,"Poinsett County, Arkansas",9148,388,4888,265,4260,266
5113,"Polk County, Arkansas",7783,332,4117,252,3666,236
5115,"Pope County, Arkansas",27519,678,14694,472,12825,482
5117,"Prairie County, Arkansas",3434,149,1909,96,1525,111
5119,"Pulaski County, Arkansas",179746,1989,91406,1428,88340,1437
5121,"Randolph County, Arkansas",6741,411,3511,256,3230,276
5123,"St. Francis County, Arkansas",9198,480,4704,345,4494,299
5125,"Saline County, Arkansas",51448,878,26531,596,24917,719
5127,"Scott County, Arkansas",4339,258,2256,186,2083,154
5129,"Searcy County, Arkansas",2754,244,1458,180,1296,163
5131,"Sebastian County, Arkansas",54571,1220,29366,773,25205,756
5133,"Sevier County, Arkansas",6668,345,3820,238,2848,207
5135,"Sharp County, Arkansas",5692,329,3301,223,2391,210
5137,"Stone County, Arkansas",4481,411,2480,265,2001,271
5139,"Union County, Arkansas",16287,492,8634,283,7653,388
5141,"Van Buren County, Arkansas",5171,362,2881,243,2290,244
5143,"Washington County, Arkansas",99265,1532,55373,1056,43892,1007
5145,"White County, Arkansas",31994,1058,17240,645,14754,694
5147,"Woodruff County, Arkansas",2399,232,1283,145,1116,139
5149,"Yell County, Arkansas",8450,437,4472,260,3978,309
6001,"Alameda County, California",701525,4133,372717,2470,328808,2647
6003,"Alpine County, California",484,116,276,95,208,51
6005,"Amador County, California",11869,621,6242,417,5627,429
6007,"Butte County, California",85197,1535,44003,1094,41194,1117
6009,"Calaveras County, California",16536,759,8608,519,7928,537
6011,"Colusa County, California",8468,335,4969,272,3499,225
6013,"Contra Costa County, California",485218,3581,259071,2290,226147,2374
6015,"Del Norte County, California",8207,550,4263,474,3944,345
6017,"El Dorado County, California",77573,1450,40761,968,36812,889
6019,"Fresno County, California",352667,3010,193977,2132,158690,2012
6021,"Glenn County, California",10106,466,5724,297,4382,315
6023,"Humboldt County, California",57204,1164,30332,749,26872,815
6025,"Imperial County, California",56288,1299,30586,920,25702,836
6027,"Inyo County, California",8119,312,4132,208,3987,234
6029,"Kern County, California",312996,2881,179448,2334,133548,2106
6031,"Kings County, California",53699,1366,31965,1174,21734,672
6033,"Lake County, California",21354,913,11016,604,10338,618
6035,"Lassen County, California",9167,677,5205,514,3962,280
6037,"Los Angeles County, California",4434574,9559,2418863,5278,2015711,7433
6039,"Madera County, California",42533,1489,23501,965,19032,1023
6041,"Marin County, California",122993,1591,64652,994,58341,1169
6043,"Mariposa County, California",7167,485,3836,330,3331,269
6045,"Mendocino County, California",35713,983,18877,728,16836,594
6047,"Merced County, California",92426,1754,51352,1267,41074,1082
6049,"Modoc County, California",3317,320,1653,246,1664,174
6051,"Mono County, California",7482,584,4104,446,3378,292
6053,"Monterey County, California",177092,2471,98799,1955,78293,1249
6055,"Napa County, California",65991,1049,35351,626,30640,825
6057,"Nevada County, California",40647,993,20931,591,19716,681
6059,"Orange County, California",1448689,5874,796936,3555,651753,4058
6061,"Placer County, California",157504,1932,82837,1256,74667,1246
6063,"Plumas County, California",7116,397,3971,284,3145,257
6065,"Riverside County, California",873689,4728,485533,3398,388156,3487
6067,"Sacramento County, California",602052,3747,308560,2681,293492,2470
6069,"San Benito County, California",24447,512,13843,474,10604,430
6071,"San Bernardino County, California",799738,4613,441526,3063,358212,3249
6073,"San Diego County, California",1463835,5431,815827,3544,648008,3922
6075,"San Francisco County, California",456670,2478,246314,1717,210356,1833
6077,"San Joaquin County, California",266476,2429,145657,1655,120819,1673
6079,"San Luis Obispo County, California",121145,1601,65589,1179,55556,1117
6081,"San Mateo County, California",370844,2434,196678,1493,174166,1757
6083,"Santa Barbara County, California",194766,1958,106870,1230,87896,1365
6085,"Santa Clara County, California",867212,3399,486742,2236,380470,2420
6087,"Santa Cruz County, California",126431,1460,67900,1045,58531,1092
6089,"Shasta County, California",66123,1375,33827,819,32296,941
6091,"Sierra County, California",1188,211,551,128,637,139
6093,"Siskiyou County, California",15694,508,7975,350,7719,348
6095,"Solano County, California",183003,2926,95609,2514,87394,1443
6097,"Sonoma County, California",229141,2093,120632,1466,108509,1231
6099,"Stanislaus County, California",199368,2120,110409,1557,88959,1510
6101,"Sutter County, California",36526,799,20445,603,16081,554
6103,"Tehama County, California",22168,804,11731,531,10437,551
6105,"Trinity County, California",4526,373,2249,239,2277,233
6107,"Tulare County, California",165479,2126,94019,1175,71460,1425
6109,"Tuolumne County, California",18863,784,9723,578,9140,482
6111,"Ventura County, California",386259,2586,212047,1831,174212,1740
6113,"Yolo County, California",88717,1370,46114,797,42603,1104
6115,"Yuba County, California",25496,803,14414,535,11082,509
8001,"Adams County, Colorado",217367,1985,119788,1437,97579,1313
8003,"Alamosa County, Colorado",6256,468,3333,284,2923,370
8005,"Arapahoe County, Colorado",299208,1985,158945,1277,140263,1357
8007,"Archuleta County, Colorado",5310,333,2836,222,2474,223
8009,"Baca County, Colorado",1741,85,950,58,791,55
8011,"Bent County, Colorado",1450,285,901,241,549,120
8013,"Boulder County, Colorado",158990,1444,85420,887,73570,1057
8014,"Broomfield County, Colorado",30023,476,16242,305,13781,417
8015,"Chaffee County, Colorado",8080,370,4334,334,3746,225
8017,"Cheyenne County, Colorado",1076,117,636,78,440,64
8019,"Clear Creek County, Colorado",4983,249,2630,195,2353,182
8021,"Conejos County, Colorado",3029,173,1658,127,1371,97
8023,"Costilla County, Colorado",1241,177,663,120,578,99
8025,"Crowley County, Colorado",1378,214,730,173,648,132
8027,"Custer County, Colorado",1393,173,839,133,554,122
8029,"Delta County, Colorado",11505,481,6325,328,5180,325
8031,"Denver County, Colorado",329735,2494,176542,1620,153193,1623
8033,"Dolores County, Colorado",692,147,378,113,314,61
8035,"Douglas County, Colorado",151982,1247,82669,785,69313,885
8037,"Eagle County, Colorado",31028,873,18052,549,12976,567
8039,"Elbert County, Colorado",11852,319,6214,196,5638,274
8041,"El Paso County, Colorado",305692,2376,171114,1496,134578,1650
8043,"Fremont County, Colorado",14020,819,6883,623,7137,530
8045,"Garfield County, Colorado",28483,641,16235,467,12248,486
8047,"Gilpin County, Colorado",2976,315,1577,191,1399,209
8049,"Grand County, Colorado",8052,383,4560,259,3492,249
8051,"Gunnison County, Colorado",8725,312,5135,215,3590,257
8053,"Hinsdale County, Colorado",401,66,222,41,179,45
8055,"Huerfano County, Colorado",2201,248,1065,175,1136,143
8057,"Jackson County, Colorado",777,91,455,69,322,58
